retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,new_cases
-2.544507150255689,0.14462065793473725,1.2673221073961871,-4.127058073633873,-6.397276400352967,-1.934335733421781,2.8268719101081548,0.7403450576336071,0.36779773189725723,0.003996110747097537,0.0009985183838868627,-0.0,110.8216440881933,78.50406928645477,0.009967476622079433,0.0009996706534840664,125.9096523198005,0.0009997331819872827,0.018371451604245262,6.0373858324986465
-2.739848296854656,0.0,1.3278323171055135,-4.669787795632714,-9.207126897954746,-2.095281004693202,2.4175167224862317,-1.3859025567505607,0.2568786384724331,0.002997811213345166,-0.0010014845485765956,-0.0,127.09139468837023,81.05195148427899,0.010960668229117093,0.0009996706534840664,125.9096523198005,0.0009997331819872827,0.024160146993193677,7.298559837982308
-3.144407171387831,-8.154041739235593,1.5254897791837192,-6.292097151093936,-18.084867476521204,-2.5482157495129485,3.5494734933341547,1.583751557336991,0.5637417433557899,0.0049939260438871536,0.001994081353819078,0.000998510748832917,125.49644685391092,83.41568820319073,0.011953217514747684,0.0009996706534840664,125.6274549828269,0.0009997331819872827,0.02876264164723697,6.664515477255972
-3.3435488660887738,-10.8456195087156,1.6487479736786337,-7.244077813300356,-24.05325221078097,-2.8048140949367153,4.473498668881537,1.583751557336991,0.8126881887036917,0.006988106790258312,0.001994081353819078,0.000998510748832917,238.462025634561,89.57982897119001,0.014927021924408868,0.0029970391528976923,148.48389249460686,0.0009997331819872827,0.029387396992699887,7.7516836459634355
-3.5406537160489018,-15.06204127875645,1.762159366900889,-8.227861663281042,-31.556002161955853,-3.03266927852801,4.473498668881537,0.0,0.7347323820087882,0.006988106790258312,-0.0,0.000998510748832917,33.82052675447372,89.82435441240959,0.014927021924408868,0.0,137.57523639841497,0.0009997331819872827,0.03297462809863875,5.399224121768176
-3.7219005745123783,-20.452137154213002,1.858695171995307,-9.212799145630097,-40.08920187018452,-3.2233053482473384,5.017144326345792,1.2203179073406725,0.8864223205933262,0.0089803591621474,0.0009985183838868627,0.000998510748832917,260.26411885513295,96.07470686423653,0.017895083058823806,0.0029970391528976923,164.27339543072273,0.0009997331819872827,0.03239544290391298,8.17119772258192
-4.094887682034282,-37.862621336863036,2.0441912465737975,-11.682099559250474,-64.81773472661133,-3.5697998221231844,14.069324162602639,0.0,2.559033399729973,0.0513578601280676,-0.0,0.004962965208835989,690.7528006509386,138.14149369833655,0.04920425434986997,0.014926465037052887,357.4066017374193,0.003995737442843993,0.031214953535689916,4.554824713084714
-4.093246633697462,-37.79066851534685,2.042581855352713,-11.682099559250474,-64.62896935677328,-3.56191920446535,15.476178607108215,3.531090460829631,2.7851588542149943,0.061091466139587505,0.009853580227830864,0.005946740198873782,454.7916278921409,145.4119725571514,0.056933768834033734,0.007979002978982075,395.6001176046269,0.004993343147445976,0.03297462809863875,12.651527412657137
-4.093246633697462,-37.79066851534685,2.040961996567168,-11.682099559250474,-64.44023947003814,-3.5555494564843833,16.67948116351771,3.4170310647111704,2.9855755192697933,0.07078052728906442,0.008881244760631454,0.006927602939988213,425.20201675322545,151.40112205031323,0.06366579691207719,0.006983915314549656,426.2559360952411,0.005990419012085857,0.0352199267556735,12.588516302370174
-4.093246633697462,-37.79066851534685,2.040961996567168,-11.67099018813065,-64.25154515544659,-3.5555494564843833,19.711934983749636,5.221192170997881,3.5093630629861527,0.09672326887392525,0.025955834396285005,0.010822160570797226,475.8934308995002,158.07954002950362,0.07132419994531294,0.007979002978982075,464.6809498716199,0.006986965844428217,0.039879187649692005,15.924199906715183
-4.098149015116672,-37.0706990429179,2.0393315502695897,-11.604142481387022,-63.49844383005336,-3.553944699078224,20.744769336883902,3.531090460829631,3.660308050322612,0.10625276584913136,0.009853580227830864,0.011788633440842725,510.53116266106815,165.00959453477375,0.08084486720266168,0.008973440241088832,507.41831932945877,0.0079829844501058,0.038888505880985934,12.774971335121508
-4.1014094343291525,-36.20248101768121,2.0393315502695897,-11.548092346563278,-62.74459947746071,-3.55233608842864,22.669312724796583,4.698930186417593,3.7251444162056915,0.12518701410453179,0.01942188393356382,0.011788633440842725,533.147667307167,171.90343917475374,0.09030820904068153,0.009967228169951988,552.0261736426387,0.008978475632727615,0.0352199267556735,13.237886448279465
-4.104657566685237,-35.40366297619496,2.0393315502695897,-11.480380658125792,-62.18091466687341,-3.5507236066620633,25.63133218054557,5.737255330716568,4.1171826456570395,0.15793299202782501,0.03326322544883294,0.015626195372701702,602.2340352652619,179.69541504999026,0.101589766068285,0.011952860290212303,606.7100569950885,0.0099734401938837,0.03297462809863875,14.346165463474629
-4.109495653996688,-34.74719637615729,2.042581855352713,-11.434918039632722,-61.61624254588945,-3.553944699078224,26.767355144227764,4.109054360350671,4.316476981777286,0.17089685608828545,0.013714510477373733,0.017528133579139283,589.8543823183672,186.6793574432485,0.11279147423086833,0.011952860290212303,587.4969612579683,0.0099734401938837,0.03938692712289887,14.647675103094183
-4.114317938517174,-34.08887091289784,2.0457791418003586,-11.389317034354944,-61.42809230585345,-3.5587363271075043,29.005324139163033,5.469032321390655,4.566682714055955,0.19933811344463276,0.028715847074117465,0.02036023346301571,624.6420580877937,193.83978845575183,0.12483818981793003,0.012944706605742696,616.2879772525959,0.0099734401938837,0.038888505880985934,14.53205749468448
